,primary_isbn10,title,author,publisher,weeks_on_list
2041,1476712050,BEAUTIFUL DISASTER,Jamie McGuire,Simon & Schuster,0
2042,1420131001,HOW TO DRIVE A DRAGON CRAZY,G A Aiken,Kensington Publishing,0
2043,None,ARCHANGELÛªS STORM,Nalini Singh,Berkley,0
2044,None,STRANGER IN THE MOONLIGHT,Jude Deveraux,Pocket Books,0
2045,None,BECAUSE YOU ARE MINE PART V,Beth Kery,Penguin Group,0
2046,1439193061,BLACK LIST,Brad Thor,Simon & Schuster,0
2047,1101608528,BECAUSE YOU ARE MINE PART IV,Beth Kerry,Penguin Group,0
2048,446573027,ZERO DAY,David Baldacci,Grand Central Publishing,0
2049,None,DEEP DOWN,Lee Child,Delacorte Press,0
2050,345533585,ODD APOCALYPSE,Dean Koontz,Random House Publishing,0
2051,316097470,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge,"Little, Brown & Company",0
2052,None,THE SPYMASTERS,W E B Griffin and William E Butterworth IV,Penguin Group,0
2053,62073176,THE FALLEN ANGEL,Daniel Silva,HarperCollins Publishers,0
2054,345533569,FRIENDS FOREVER,Danielle Steel,Random House Publishing,0
2055,None,THE LADY IS A VAMP,Lynsay Sands,HarperCollins Publishers,0
2056,1455503703,FOREVER AND A DAY,Jill Shalvis,Grand Central Publishing,0
2057,,HAVEN,Kay Hooper,Penguin Group,0
2058,034553056X,THE LITIGATORS,John Grisham,Random House Publishing,0
2059,None,BACKFIRE,Catherine Coulter,Penguin Group,0
2060,None,PLAYING FOR KEEPS,R L Mathewson,Rerum Publishing House,0
2061,None,CLOSE YOUR EYES,Iris Johansen and Roy Johansen,St. Martin's Press,0
2062,1451617771,THE NEXT BEST THING,Jennifer Weiner,Atria Books,0
2063,None,A DISCOVERY OF WITCHES,Deborah Harkness,Penguin Group,0
2064,345528514,CRIMINAL,Karin Slaughter,Random House Publishing,0
2065,,NIGHT WATCH,Linda Fairstein,Penguin Group,0
2066,316202479,SUMMERLAND,Elin Hilderbrand,"Little, Brown & Company",0
2067,316097489,11TH HOUR,James Patterson and Maxine Paetro,"Little, Brown & Company",0
2068,62194909,BLOODLINE,James Rollins,HarperCollins Publishers,0
2069,446573000,THE INNOCENT,David Baldacci,Grand Central Publishing,0
2070,679644385,THE AGE OF MIRACLES,Karen Thompson Walker,Random House Publishing,0
2071,None,WICKED NIGHTS,Gena Showalter,HQN,0
2072,385536089,CALICO JOE,John Grisham,Knopf Doubleday Publishing,0
2073,None,THE LAST BOYFRIEND,Nora Roberts,Berkley,0
2074,,THE STORM,Clive Cussler and Graham Brown,Penguin Group,0
2075,446542180,THE LUCKY ONE,Nicholas Sparks,Grand Central Publishing,0
2076,,AFRAID TO DIE,Lisa Jackson,Kensington,0
2077,345538161,SNATCHED,Karin Slaughter,Random House Publishing,0
2078,055389787X,A STORM OF SWORDS,George R R Martin,Random House Publishing,0
2079,None,THE WITNESS,Nora Roberts,Putnam,0
2080,345527739,EXPLOSIVE EIGHTEEN,Janet Evanovich,Random House Publishing,0
2081,345526538,THE COLUMBUS AFFAIR,Steve Berry,Random House Publishing,0
2082,1455511153,LETHAL RIDER,Larissa Ione,Grand Central Publishing,0
2083,145166415X,IN ONE PERSON,John Irving,Simon & Schuster,0
2084,1401394760,HEAT WAVE,Richard Castle,Hyperion Press,0
2085,316097578,GUILTY WIVES,James Patterson and David Ellis,"Little, Brown & Company",0
2086,778313174,SUNRISE POINT,Ron Carr,Harlequin,0
2087,None,A BREWING STORM,Richard Castle,Hyperion,0
2088,,ROBERT B. PARKERâS LULLABY,Ace Atkins,Penguin Group,0
2089,307593673,THE GIRL WHO KICKED THE HORNETâS NEST,Stieg Larsson,Knopf Doubleday Publishing,0
2090,,ROBERT B. PARKERÛªS LULLABY,Ace Atkins,Penguin Group,0
2091,307593673,THE GIRL WHO KICKED THE HORNETÛªS NEST,Stieg Larsson,Knopf Doubleday Publishing,0
2092,345534638,TRICKED,Kevin Hearne,Random House Publishing,0
2093,1451668937,THE LOST YEARS,Mary Higgins Clark,Simon & Schuster,0
2094,1429954027,A MATTER OF HONOR,Jeffrey Archer,St. Martin's Press,0
2095,307272303,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday Publishing,0
2096,345532341,BETRAYAL,Danielle Steel,Random House Publishing,0
2097,515150630,CHASING FIRE,Nora Roberts,Penguin Group,0
2098,None,LOVER REBORN,J R Ward,New American Library,0
2099,044024630X,THE AFFAIR,Lee Child,Delacorte,0
2100,62049577,ELEGY FOR EDDIE,Jacqueline Winspear,HarperCollins Publishers,0
2101,62096605,WANTED: UNDEAD OR ALIVE,Kerrelyn Sparks,HarperCollins Publishers,0
2102,1439149690,LONE WOLF,Jodi Picoult,Atria Books,0
2103,1416539204,THE SPELLMAN FILES,Lisa Lutz,Simon & Schuster,0
2104,345532171,VICTIMS,Jonathan Kellerman,Random House Publishing,0
2105,1459222776,REDWOOD BEND,Ron Carr,Harlequin,0
2106,006209906X,PHANTOM,Ted Bell,HarperCollins Publishers,0
2107,,THE THIEF,Clive Cussler and Justin Scott,Penguin Group,0
2108,1451617089,FALL FROM GRACE,Richard North Patterson,Scribner,0
2109,547416210,EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,Houghton Mifflin Harcourt,0
2110,,CINNAMON ROLL MURDER,Joanne Fluke,Kensington,0
2111,1429959304,ONE GOOD DOG,Susan Wilson,St. Martin's Press,0
2112,None,THE SHADOW PATROL,Alex Berenson,Penguin Group,0
2113,316097411,PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,Grand Central Publishing,0
2114,1429942215,HOME FRONT,Kristin Hannah,St. Martinâs Press,0
2115,307595110,THE WOLF GIFT,Anne Rice,Knopf Doubleday Publishing,0
2116,None,WIFE BY WEDNESDAY,Catherine Bybee,Catherine Bybee,0
2117,None,THE SUMMER GARDEN,Sherryl Woods,Harlequin,0
2118,,TAKEN,Robert Crais,Putnam,0
2119,None,LUCKY PENNY,Catherine Anderson,Signet,0
2120,307959856,DEATH COMES TO PEMBERLEY,P D James,Knopf Doubleday Publishing,0
2121,1451606869,LAST MAN STANDING,Cindy Gerard,Pocket Books,0
2122,385343841,THE TIGER'S WIFE,TÃ©a Obreht,Random House Publishing,0
2123,62119486,RAYLAN,Elmore Leonard,HarperCollins Publishers,0
2124,312651287,BONNIE,Iris Johansen,St. Martin's Press,0
2125,None,GOLDEN LIES,Barbara Freethy,Barbara Freethy,0
2126,525952586,BELIEVING THE LIE,Elizabeth George,Penguin Group,0
2127,1429952512,LOVE IN A NUTSHELL,Janet Evanovich and Dorien Kelly,St. Martinâs Press,0
2128,None,LOCKED ON,Tom Clancy with Mark Greaney,Penguin Group,0
2129,345532368,77 SHADOW STREET,Dean Koontz,Random House Publishing,0
2130,,DOWN THE DARKEST ROAD,Tami Hoag,Penguin Group,0
2131,None,D.C. DEAD,Stuart Woods,Penguin Group,0
2132,,COVERT WARRIORS,WEB Griffin and William E Butterworth IV,Penguin Group,0
2133,316126691,THE ART OF FIELDING,Chad Harbach,"Little, Brown & Company",0
2134,60873027,MICRO,Michael Crichton and Richard Preston,HarperCollins Publishers,0
2135,None,ALL SHE EVER WANTED,Barbara Freethy,Penguin Group,0
2136,None,THE CHRISTMAS WEDDING,James Patterson and Richard DiLallo,"Little, Brown & Company",0
2137,385337515,THE SCOTTISH PRISONER,Diana Gabaldon,Random House Publishing,0
2138,1439149941,SOFT TARGET,Stephen Hunter,Simon & Schuster,0
2139,1459281969,TRUE BLUE AND CARRERAâS BRIDE,Diana Palmer,Harlequin,0
2140,399157824,DEVILâS GATE,Clive Cussler and Graham Brown,Putnam,0
2141,None,TO WED A WILD LORD,Sabrina Jeffries,Pocket Books,0
2142,1429969180,THE MARRIAGE PLOT,Jeffrey Eugenides,"Farrar, Straus & Giroux",0
2143,None,1225 CHRISTMAS TREE LANE,Debbie Macomber,Harlequin,0
2144,345529200,HOTEL VENDOME,Danielle Steel,Random House Publishing,0
2145,307593312,1Q84,Haruki Murakami,Knopf Doubleday Publishing,0
2146,None,ANGLE OF INVESTIGATION,Michael Connelly,"Little, Brown & Company",0
2147,None,SHOCK WAVE,John Sandford,Penguin Group,0
2148,547577532,THE PRAGUE CEMETERY,Umberto Eco,Houghton Mifflin Harcourt,0
2149,60548940,OUT OF OZ,Gregory Maguire,HarperCollins Publishers,0
2150,None,THE ABBEY,Chris Culver,Chris Culver,0
2151,778312712,BRING ME HOME FOR CHRISTMAS,Ron Carr,Mira,0
2152,1459215230,WYOMING TOUGH,Diana Palmer,Harlequin,0
2153,345519523,NEVER LOVE A HIGHLANDER,Maya Banks,Random House Publishing,0
2154,None,LETHAL,Sandra Brown,Grand Central Publishing,0
2155,385534647,THE NIGHT CIRCUS,Erin Morgenstern,Knopf Doubleday,0
2156,1451617496,THE DOVEKEEPERS,Alice Hoffman,Simon & Schuster,0
2157,446574716,CROSS FIRE,James Patterson,Grand Central Publishing,0
2158,045123491X,MIRACLE CURE,Harlan Coben,Signet,0
2159,1429985216,SARAHâS KEY,Tatiana de Rosnay,St. Martinâs,0
2160,None,NEW YORK TO DALLAS,J D Robb,Berkley,0
2161,786958421,NEVERWINTER,R A Salvatore,Wizards of the Coast,0
2162,None,THE UNQUIET,"JD Robb, Mary Blayney, Patricia Gaffney, Ruth Ryan Langan and Mary Kay McComas",Penguin Group,0
2163,1420125885,CHRISTMAS AT TIMBERWOODS,Fern Michaels,Kensington,0
2164,1401303919,HEAT RISES,Richard Castle,Hyperion,0
2165,None,MILE 81,Stephen King,Scribner,0
2166,345521323,THE PARIS WIFE,Paula McLain,Random House,0
2167,399157816,THE RACE,Clive Cussler and Justin Scott,Penguin Group,0
2168,312651619,ABUSE OF POWER,Michael Savage,St. Martin's,0
2169,765321548,HOW FIRM A FOUNDATION,David Weber,Tom Doherty,0
2170,076420601X,THE MERCY,Beverly Lewis,Bethany House,0
2171,None,SECOND SON,Lee Child,Random House,0
2172,307946711,ONE DAY,David Nicholls,Knopf Doubleday,0
2173,None,BLIND PURSUIT,Michael Prescott,Michael Prescott,0
2174,None,THE LEFTOVERS,Tom Perrotta,St. Martin's,0
2175,1439112800,FLASH AND BONES,Kathy Reichs,Simon & Schuster,0
2176,553897853,A CLASH OF KINGS,George R R Martin,Random House,0
2177,312383355,WICKED APPETITE,Janet Evanovich,St. Martin's,0
2178,None,STEALING FACES,Michael Prescott,Michael Prescott,0
2179,None,PORTRAIT OF A SPY,Daniel Silva,HarperCollins,0
2180,None,THE IDEAL MAN,Julie Garwood,Dutton,0
2181,375714367,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,0
2182,1451617747,THEN CAME YOU,Jennifer Weiner,Simon & Schuster,0
2183,759525773,THE BLACK ECHO,Michael Connelly,"Little, Brown",0
2184,440423317,HAPPY BIRTHDAY,Danielle Steel,Random House,0
2185,62049828,STATE OF WONDER,Ann Patchett,HarperCollins,0
2186,61753815,LORD OF SCOUNDRELS,Loretta Chase,HarperCollins,0
2187,446583170,ONE SUMMER,David Baldacci,Grand Central,0
2188,446564443,THE BOURNE DOMINION,Eric Van Lustbader,Grand Central,0
2189,None,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,Penguin Group,0
2190,553900323,A FEAST FOR CROWS,George R R Martin,Random House,0
2191,446571415,HELL'S CORNER,David Baldacci,Grand Central,0
2192,307596818,MAINE,J Courtney Sullivan,Knopf Doubleday,0
2193,373776004,THE CREED LEGACY,Linda Lael Miller,Harlequin,0
2194,385532733,ESCAPE,Barbara Delinsky,Knopf Doubleday,0
2195,312383312,SIZZLING SIXTEEN,Janet Evanovich,St. Martin's,0
2196,316126942,10TH ANNIVERSARY,James Patterson and Maxine Paetro,"Little, Brown",0
2197,None,BURIED PREY,John Sandford,Penguin Group,0
2198,1451620691,CARTE BLANCHE,Jeffery Deaver,Simon & Schuster,0
2199,None,UNLOCKED,Courtney Milan,Courtney Milan,0
2200,399157425,THE KINGDOM,Clive Cussler with Grant Blackwood,Penguin Group,0
2201,,SUMMER SECRETS,Barbara Freethy,Recorded Books,0
2202,1429904607,SOMETHING BORROWED,Emily Giffin,St. Martin's,0
2203,140226108X,THE WINTER SEA,Susanna Kearsley,Sourcebooks,0
2204,1429904623,SOMETHING BLUE,Emily Giffin,St. Martinâs,0
2205,345530160,THE JEFFERSON KEY,Steve Berry,Random House,0
2206,679604898,DREAMS OF JOY,Lisa See,Random House,0
2207,None,THE RELUCTANT VAMPIRE,Lynsay Sands,HarperCollins,0
2208,None,TRACE OF FEVER,Lori Foster,Harlequin,0
2209,None,A TURN IN THE ROAD,Debbie Macomber,Harlequin,0
2210,None,SIXKILL,Robert B Parker,Penguin Group,0
2211,515149489,THE SEARCH,Nora Roberts,Penguin Group,0
2212,446573248,BORN OF SHADOWS,Sherrilyn Kenyon,Grand Central,0
2213,307477479,A VISIT FROM THE GOON SQUAD,Jennifer Egan,Knopf Doubleday,0
2214,1429959797,SAVE ME,Lisa Scottoline,St. Martinâs,0
2215,446565504,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,Grand Central,0
2216,345524381,MYSTERY,Jonathan Kellerman,Random House,0
2217,None,LIVE WIRE,Harlan Coben,Penguin Group,0
2218,451233166,LOVER UNLEASHED,J R Ward,Penguin Group,0
2219,61348155,CRUNCH TIME,Diane Mott Davidson,HarperCollins,0
2220,006208531X,VAMPIRE MINE,Kerrelyn Sparks,HarperCollins,0
2221,1439180989,THE SHADOW OF YOUR SMILE,Mary Higgins Clark,Simon & Schuster,0
2222,None,THE JUNGLE,Clive Cussler with Jack Du Brul,Penguin Group,0
2223,345521242,BREAKING THE RULES,Suzanne Brockmann,Random House,0
2224,61727679,A LESSON IN SECRETS,Jacqueline Winspear,HarperCollins,0
2225,316129186,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",0
2226,307595161,MINDING FRANKIE,Maeve Binchy,Knopf Doubleday,0
2227,756404738,THE WISE MAN'S FEAR,Patrick Rothfuss,Penguin Group,0
2228,None,AN ENGAGEMENT IN SEATTLE,Debbie Macomber,Harlequin,0
2229,None,TREACHERY IN DEATH,J D Robb,Penguin Group,0
2230,525952020,SILENT MERCY,Linda Fairstein,Penguin Group,0
2231,441019730,RIVER MARKED,Patricia Briggs,Penguin Group,0
2232,None,HARVEST MOON,Ron Carr,Harlequin,0
2233,1439136807,DREAMS OF A DARK WARRIOR,Kresley Cole,Simon & Schuster,0
2234,979190916,HER LAST LETTER,Nancy C Johnson,Penwyck,0
2235,1426884265,MARRYING DAISY BELLAMY,Susan Wiggs,Harlequin,0
2236,1400079144,THE LOST SYMBOL,Dan Brown,Knopf Doubleday,0
2237,425238695,THE POSTMISTRESS,Sarah Blake,Penguin Group,0
2238,1416589643,LITTLE BEE,Chris Cleave,Simon & Schuster,0
2239,1429994266,A HEARTBEAT AWAY,Michael Palmer,St. Martinâs,0
2240,446582638,THE INNER CIRCLE,Brad Meltzer,Grand Central,0
2241,553900862,THE PERFECT HUSBAND,Lisa Gardner,Bantam,0
2242,312663153,WINTER GARDEN,Kristin Hannah,St. Martinâs,0
2243,553907530,WHAT THE NIGHT KNOWS,Dean Koontz,Random House,0
2244,1429960639,TOWERS OF MIDNIGHT,Robert Jordan and Brandon Sanderson,Tom Doherty,0
2245,159020459X,TRUE GRIT,Charles Portis,Penguin Group,0
2246,044033974X,SHADOWFEVER,Karen Marie Moning,Random House,0
2247,None,ARCHANGELâS CONSORT,Nalini Singh,Penguin Group,0
2248,None,THE SENTRY,Robert Crais,Penguin Group,0
